program,class,reason,source_path,relative_path
llvmss_benchmarkgame_fannkuch,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/fannkuch.c,BenchmarkGame/fannkuch.c
llvmss_benchmarkgame_large_fasta,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/Large/fasta.c,BenchmarkGame/Large/fasta.c
llvmss_benchmarkgame_n-body,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/n-body.c,BenchmarkGame/n-body.c
llvmss_benchmarkgame_nsieve-bits,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/nsieve-bits.c,BenchmarkGame/nsieve-bits.c
llvmss_benchmarkgame_partialsums,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/partialsums.c,BenchmarkGame/partialsums.c
llvmss_benchmarkgame_puzzle,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/puzzle.c,BenchmarkGame/puzzle.c
llvmss_benchmarkgame_recursive,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/recursive.c,BenchmarkGame/recursive.c
llvmss_benchmarkgame_spectral-norm,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/spectral-norm.c,BenchmarkGame/spectral-norm.c
llvmss_coyotebench_almabench,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/CoyoteBench/almabench.c,CoyoteBench/almabench.c
llvmss_coyotebench_huffbench,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/CoyoteBench/huffbench.c,CoyoteBench/huffbench.c
llvmss_coyotebench_lpbench,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/CoyoteBench/lpbench.c,CoyoteBench/lpbench.c
llvmss_dhrystone_dry,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Dhrystone/dry.c,Dhrystone/dry.c
llvmss_dhrystone_fldry,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/Dhrystone/fldry.c,Dhrystone/fldry.c
llvmss_linpack_linpack-pc,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Linpack/linpack-pc.c,Linpack/linpack-pc.c
llvmss_mcgill_chomp,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/McGill/chomp.c,McGill/chomp.c
llvmss_mcgill_exptree,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/McGill/exptree.c,McGill/exptree.c
llvmss_mcgill_misr,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/McGill/misr.c,McGill/misr.c
llvmss_mcgill_queens,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/McGill/queens.c,McGill/queens.c
llvmss_misc_aarch64-init-cpu-features,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/aarch64-init-cpu-features.c,Misc/aarch64-init-cpu-features.c
llvmss_misc_dt,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/Misc/dt.c,Misc/dt.c
llvmss_misc_evalloop,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/evalloop.c,Misc/evalloop.c
llvmss_misc_fbench,arg-run,argc/argv or getopt detected,data/llvm-test-suite/SingleSource/Benchmarks/Misc/fbench.c,Misc/fbench.c
llvmss_misc_ffbench,file-run,file/io api detected,data/llvm-test-suite/SingleSource/Benchmarks/Misc/ffbench.c,Misc/ffbench.c
llvmss_misc_flops-1,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-1.c,Misc/flops-1.c
llvmss_misc_flops-2,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-2.c,Misc/flops-2.c
llvmss_misc_flops-3,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-3.c,Misc/flops-3.c
llvmss_misc_flops-4,direct-run,no arg/file io hint,data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-4.c,Misc/flops-4.c
